,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
117,12.160973462266846,0.8882893272206793,0.006307697038331958,-0.5416655331791465,0.5499148772263173,0.3321984301356684,0.08960878914415159,0.9160943344013779,0.9718207518597964,0.8764119429000777,0.9947236499115167,0.9046853737506508,0.6548374294985454,1.074485026367885
118,12.354616159128053,0.9010064725120812,-0.007437086920818999,-0.5655868881849702,0.5487465112365928,0.33873081162821317,0.09168099668680649,0.9388893989594006,0.9717142891031731,0.8808025134694286,0.9945428749058322,0.9054523975787152,0.6659360749932569,1.0710163651291842
119,12.48458181323533,0.9095855560793044,-0.0031765575356868516,-0.5633080456846791,0.5588685214017685,0.34274501695897597,0.09275138695442363,0.9435596599601084,0.971979700977747,0.8827297089059449,0.9945398960749361,0.9105689485007503,0.674996102284116,1.0762529586889231
120,12.680814521632618,0.9226075876597282,0.00785445163533296,-0.5330395787050096,0.5648479486719196,0.3338821573760645,0.09048616104311867,0.9293842815973327,0.9725608086519871,0.8829992377300823,0.9946756449440816,0.911277433488496,0.663640167185235,1.0774257470735598
121,12.812479750823842,0.9313923498515226,0.00330925399723627,-0.5580967334309707,0.5613038627560533,0.3389707069726799,0.09164316668529165,0.9448844957850572,0.9731393647608386,0.8847609567844915,0.9948369073066228,0.9006729089946985,0.6620301839649031,1.071308316510292
122,13.011220678541196,0.9447265771954694,0.017237174124990907,-0.5257766354987943,0.5883661713446516,0.33777367104803274,0.09163494342460789,0.9375912244503829,0.9731959615665249,0.8846048300665182,0.9948074392853237,0.9035842984261959,0.6565356292919704,1.077503516206187
123,13.144530370226075,0.9537219490392906,-0.008516633749820441,-0.5630626982052256,0.5328750899954072,0.3327579994583319,0.0893837435650109,0.9258980147012952,0.9733342141297543,0.8854445650594968,0.9948911023939404,0.9064042982166373,0.6570018957046891,1.0791343548475616
124,13.345696086314069,0.9673758568617342,-0.010214239644090326,-0.5686983882285656,0.5415350955118163,0.33611884878774867,0.09027975457161562,0.9432802337855546,0.9737328936714116,0.8873361099802012,0.9949215240708065,0.9014269507279067,0.6545469980745521,1.0747572241975012
125,13.48059417811007,0.9765868876036025,0.0014184447857468149,-0.5575494323269334,0.5699091635752559,0.3411684341513882,0.09146758396024404,0.9531962904081767,0.9740849388196714,0.8901166869284822,0.9949363803532661,0.9027398850426636,0.6690214024054616,1.0716992252589397
126,13.684100038722406,0.99056814006128,-0.004660411578929177,-0.583343306331474,0.5776521048797326,0.35117717093633216,0.09394598826477125,0.9809505872268712,0.9738551739969701,0.8880916371134934,0.9948391058031317,0.9040759022442724,0.651532677944552,1.0741014915340439
127,13.82052979916365,0.9999999999999998,-0.009091686986351316,-0.5889113160194703,0.5552967056991978,0.3468427068763359,0.0946246551282577,0.9571375979992545,0.9748572469646714,0.9038667032505141,0.9947257832210366,0.937061590234373,0.8151062430158226,1.0872466288247
